specimen,sample,site,NRM,PTRM,NRM_x,NRM_y,NRM_z,PTRM_x,PTRM_y,PTRM_z,NRM_sigma,PTRM_sigma,B_lab,steptype,temp_step,correction,s_tensor,aniso_type,NLT_beta
NA02-11Fa,NA02-11Fa,NA02-11F,3.089e-07,0.0,-2.5670538292176063e-07,5.362854856207242e-08,1.6323460159573304e-07,0.0,0.0,0.0,2.641197616913332e-09,0.0,3e-05,ZI,273.0,1,,,
NA02-11Fa,NA02-11Fa,NA02-11F,3.017e-07,6.78329383009591e-09,-2.5017568098318257e-07,5.226442275558079e-08,1.603229514406056e-07,3.6309815605510517e-09,-1.656064030984603e-09,-5.485116226447213e-09,1.2898176125327812e-09,1.805432255335986e-09,3e-05,ZI,373.0,1,,,
NA02-11Fa,NA02-11Fa,NA02-11F,2.710000000000001e-07,1.3406532495321847e-08,-2.2660930691376042e-07,4.118189064777502e-08,1.4280502057959967e-07,-6.091714241662122e-09,-4.32566964912531e-09,-1.1131698578055716e-08,1.1585700132462175e-09,1.635143508096689e-09,3e-05,IZ,473.0,1,,,
NA02-11Fa,NA02-11Fa,NA02-11F,2.059e-07,3.691952736807725e-08,-1.6990822868791145e-07,3.3951014291195874e-08,1.1123548198634917e-07,1.263236301860466e-08,-3.6644563068074624e-09,-3.449705299911709e-08,8.802567001010927e-10,1.1624723785435774e-09,3e-05,ZI,573.0,1,,,
NA02-11Fa,NA02-11Fa,NA02-11F,1.566e-07,2.424703208312587e-08,-1.350972007165259e-07,2.3335338501021896e-08,7.568202121773337e-08,-4.2947151706192196e-09,6.547698955762937e-09,-2.2947802178598483e-08,6.69491011344493e-10,9.330011073284955e-10,3e-05,IZ,623.0,1,,,
NA02-11Fa,NA02-11Fa,NA02-11F,1.497e-07,3.7676990845268323e-08,-1.2808531072982949e-07,2.16640087181494e-08,7.439700196582503e-08,5.0407112673878676e-09,1.585509712736937e-09,-3.730459794749273e-08,6.399923652507701e-10,8.49311538852775e-10,3e-05,ZI,673.0,1,,,
NA02-11Fa,NA02-11Fa,NA02-11F,1.324e-07,4.3341773441554704e-08,-1.1729903980899495e-07,2.00502920612188e-08,5.8040339834873843e-08,1.4291468086219219e-09,4.578613996013867e-09,-4.307555174729592e-08,5.66031991711436e-10,7.622049275397277e-10,3e-05,IZ,703.0,1,,,
NA02-11Fa,NA02-11Fa,NA02-11F,1.247e-07,8.374875084163086e-08,-1.0781592221182682e-07,2.232760412088638e-08,5.8543103879400584e-08,1.1510659292086906e-09,7.34154107765535e-10,-8.373762196591346e-08,5.331132127372814e-10,7.165730614691947e-10,3e-05,ZI,733.0,1,,,
NA02-11Fa,NA02-11Fa,NA02-11F,8.217e-08,1.0221096957706002e-07,-7.517090411168112e-08,1.6527395162067717e-08,2.8776540518090438e-08,-9.083861005349874e-09,1.2278686845229631e-09,-1.0179910662482133e-07,3.5129039848133456e-10,5.96968722471944e-10,3e-05,IZ,763.0,1,,,
NA02-11Fa,NA02-11Fa,NA02-11F,6.994e-08,1.5194433253519265e-07,-6.284339301204044e-08,9.728671241763431e-09,2.911467861069246e-08,3.932046538217427e-09,2.3640914997520724e-09,-1.5187504821716862e-07,2.990051170717359e-10,6.564641597020856e-10,3e-05,ZI,783.0,1,,,
NA02-11Fa,NA02-11Fa,NA02-11F,4.264e-08,1.5421591175148004e-07,-4.1244101172886205e-08,5.649739087549346e-09,9.228985138320707e-09,-1.059566950755169e-09,1.7334329177412138e-09,-1.542025290503915e-07,1.822930825270063e-10,6.716177036541822e-10,3e-05,IZ,803.0,1,,,
NA02-11Fa,NA02-11Fa,NA02-11F,3.682e-08,1.6766436822332812e-07,-3.5857406996295556e-08,6.0648264297575505e-09,5.7599170027813005e-09,2.517922331616246e-10,3.143411649790596e-09,-1.676347098175048e-07,1.5741161582186612e-10,7.269254941011514e-10,3e-05,ZI,818.0,1,,,
NA02-11Fa,NA02-11Fa,NA02-11F,1.852e-08,1.8910364319244496e-07,-1.6888226629048477e-08,5.848072804722105e-09,-4.855743588428814e-09,-8.276941338633687e-09,3.610891974842441e-09,-1.888879074209844e-07,7.91760761819924e-11,8.399624411799762e-10,3e-05,IZ,833.0,1,,,
NA02-11Fa,NA02-11Fa,NA02-11F,1.563e-08,2.2368382042531437e-07,-1.4797106794808716e-08,4.1871591683695315e-09,2.7946786222685447e-09,5.58934621030422e-10,7.15436673837107e-10,-2.2368197795647156e-07,6.682084615143312e-11,9.48877492295438e-10,3e-05,ZI,843.0,1,,,
NA02-11Fa,NA02-11Fa,NA02-11F,1.023e-08,2.4440241187642573e-07,-8.319198556366784e-09,2.213567582415113e-09,-5.52665847848641e-09,5.7698453003364905e-09,1.8504497329682015e-09,-2.4432728798071245e-07,4.373494920851956e-11,1.06925880893894e-09,3e-05,IZ,853.0,1,,,
NA02-11Fa,NA02-11Fa,NA02-11F,2.21e-09,2.3884958683679193e-07,-1.1715697145485362e-09,3.0298852948106227e-10,-1.8492491327443051e-09,1.6190228976021715e-09,5.139489964914626e-09,-2.3878879693122914e-07,9.448117082192398e-12,1.0290758536834421e-09,3e-05,ZI,873.0,1,,,
NA02-11Fa,NA02-11Fa,NA02-11F,3.017e-07,7.668207582780243e-09,-2.5017568098318257e-07,5.226442275558079e-08,1.603229514406056e-07,-4.914883068183326e-10,-1.7536535114887747e-09,-7.448794945393004e-09,1.2898176125327812e-09,1.728022137838085e-09,3e-05,P,373.0,1,,,
NA02-11Fa,NA02-11Fa,NA02-11F,2.059e-07,2.3660573563690208e-08,-1.6990822868791145e-07,3.3951014291195874e-08,1.1123548198634917e-07,1.5373122587373198e-09,5.927917085520585e-09,-2.285430400185324e-08,8.802567001010927e-10,1.1919163088304256e-09,3e-05,P,573.0,1,,,
NA02-11Fa,NA02-11Fa,NA02-11F,1.497e-07,5.33006396040681e-08,-1.2808531072982949e-07,2.16640087181494e-08,7.439700196582503e-08,-2.8109686600422686e-09,-4.2288986477832655e-10,-5.3224785594281925e-08,6.399923652507701e-10,9.653325055018297e-10,3e-05,P,673.0,1,,,
NA02-11Fa,NA02-11Fa,NA02-11F,1.247e-07,1.1262342931405858e-07,-1.0781592221182682e-07,2.232760412088638e-08,5.8543103879400584e-08,4.999371471328928e-10,3.687652735056653e-10,-1.1262171595869387e-07,5.331132127372814e-10,8.952197814529811e-10,3e-05,P,733.0,1,,,
NA02-11Fa,NA02-11Fa,NA02-11F,6.994e-08,1.3704169318416359e-07,-6.284339301204044e-08,9.728671241763431e-09,2.911467861069246e-08,6.188981179164526e-10,3.048471612671977e-09,-1.3700638472979572e-07,2.990051170717359e-10,5.822776228934862e-10,3e-05,P,783.0,1,,,
NA02-11Fa,NA02-11Fa,NA02-11F,3.682e-08,1.6009514968487962e-07,-3.5857406996295556e-08,6.0648264297575505e-09,5.7599170027813005e-09,5.96210435190648e-09,2.563841354340348e-10,-1.599838883497213e-07,1.5741161582186612e-10,6.733386608349787e-10,3e-05,P,818.0,1,,,
NA02-11Fa,NA02-11Fa,NA02-11F,1.563e-08,2.0382628431927802e-07,-1.4797106794808716e-08,4.1871591683695315e-09,2.7946786222685447e-09,-1.915348003339965e-09,7.738707060999915e-09,-2.0367031701859085e-07,6.682084615143312e-11,8.794016668809848e-10,3e-05,P,843.0,1,,,
NA02-11Fb,NA02-11Fb,NA02-11F,1.913e-07,0.0,7.757413310162329e-08,1.4228102497882872e-07,-1.0165654826180925e-07,0.0,0.0,0.0,2.4535178250996452e-09,0.0,3e-05,ZI,273.0,1,,,
NA02-11Fb,NA02-11Fb,NA02-11F,1.864e-07,5.186885911101435e-09,6.444324814623209e-08,1.4339273017865383e-07,-1.0015264699584798e-07,3.7956295901340794e-09,-2.860308083244383e-09,-2.077406830211167e-09,3.5860093251325717e-09,5.075465711700607e-09,3e-05,ZI,373.0,1,,,
NA02-11Fb,NA02-11Fb,NA02-11F,1.685e-07,1.0280295706153739e-08,5.917538221159248e-08,1.2690201667655831e-07,-9.373581121180135e-08,4.5153534485802805e-09,2.8544346599533276e-10,-9.231174631003237e-09,3.2416446957341115e-09,4.681959046390212e-09,3e-05,IZ,473.0,1,,,
NA02-11Fb,NA02-11Fb,NA02-11F,1.25e-07,1.4245274829178759e-08,4.4597349887201534e-08,9.434642309975417e-08,-6.881009251062444e-08,-3.0489925308102757e-09,-7.2384804315840365e-09,-1.1884271140775611e-08,2.4047809315534947e-09,3.4117739610121282e-09,3e-05,ZI,573.0,1,,,
NA02-11Fb,NA02-11Fb,NA02-11F,1.0290000000000001e-07,1.796824696682607e-08,3.62138045762434e-08,7.424930264087375e-08,-6.135153963396188e-08,2.1854478400186165e-10,2.132706210092581e-09,-1.783989073564276e-08,1.9796156628548372e-09,2.981693763397339e-09,3e-05,IZ,623.0,1,,,
NA02-11Fb,NA02-11Fb,NA02-11F,9.419e-08,2.1891011797925995e-08,3.393303280023927e-08,6.865827451020672e-08,-5.483016255911509e-08,-1.9968618982726135e-09,-2.0023439036522323e-09,-2.1707592196917393e-08,1.8120505275441895e-09,2.7337756836276906e-09,3e-05,ZI,673.0,1,,,
NA02-11Fb,NA02-11Fb,NA02-11F,9.248e-08,2.7008021679137153e-08,3.202306899350149e-08,6.42283399071345e-08,-5.8324898671245356e-08,-1.8324639999301054e-09,1.7136605994862177e-09,-2.6891237942115478e-08,1.7791531244005378e-09,2.792805217651486e-09,3e-05,IZ,703.0,1,,,
NA02-11Fb,NA02-11Fb,NA02-11F,8.579e-08,4.970154289536542e-08,3.193220547730621e-08,6.082188873817217e-08,-5.139023451665211e-08,-4.2698085679919754e-09,-2.565016154386455e-09,-4.945131740510345e-08,1.6504492489437948e-09,2.8331880414048238e-09,3e-05,ZI,733.0,1,,,
NA02-11Fb,NA02-11Fb,NA02-11F,6.782999999999999e-08,6.930944578371566e-08,2.359484710712982e-08,4.382038646161377e-08,-4.608650366805866e-08,-1.0578943848004786e-09,3.6423257348651744e-09,-6.920558935199936e-08,1.3049303246981883e-09,2.7648111905878026e-09,3e-05,IZ,763.0,1,,,
NA02-11Fb,NA02-11Fb,NA02-11F,5.143e-08,9.205672852942804e-08,1.6771458782796704e-08,3.5966509426748354e-08,-3.2713502868885396e-08,-2.896128566634516e-09,-5.092499517888785e-09,-9.187012656749002e-08,9.894230664783699e-10,2.673483458763859e-09,3e-05,ZI,783.0,1,,,
NA02-11Fb,NA02-11Fb,NA02-11F,3.901e-08,1.0132439125484928e-07,1.366519024216331e-08,2.1699953846728992e-08,-2.9396507933686893e-08,-2.4052834338231456e-09,2.120563168079928e-09,-1.0127363964338862e-07,7.504840331192148e-10,2.67201667181543e-09,3e-05,IZ,803.0,1,,,
NA02-11Fb,NA02-11Fb,NA02-11F,3.097e-08,1.0470121328583285e-07,1.088025972639509e-08,2.13537120416476e-08,-1.9615805625275228e-08,-2.0338845443140765e-09,-4.785923571465775e-09,-1.0457199583422873e-07,5.958085236016939e-10,2.488696222919798e-09,3e-05,ZI,818.0,1,,,
NA02-11Fb,NA02-11Fb,NA02-11F,2.408e-08,1.1701856085465615e-07,6.285944313843269e-09,1.431978084289385e-08,-1.8310575651648745e-08,9.533607595169789e-11,2.5677876920064086e-09,-1.169903455926867e-07,4.632569986544653e-10,2.6665693633177328e-09,3e-05,IZ,833.0,1,,,
